	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pcdh7	2.78751872007611e-29	1.26105847888273	0.265	0.074	5.89448708547294e-25
Erg	4.15744546468186e-29	0.622040982492262	0.385	0.161	8.79133417961625e-25
Gm11361	5.51931004594928e-29	0.350185653492656	0.488	0.229	1.16711330231644e-24
Cyb561a3	1.10070665287501e-28	-0.551432544837719	0.569	0.758	2.3275542881695e-24
Unc93b1	1.64675032871733e-28	-0.471756717085	0.799	0.917	3.48221824510566e-24
Hdac9	1.74991196115084e-28	-0.901086361452855	0.493	0.697	3.70036383304957e-24
Kctd12	1.75901440161851e-28	-0.581776822024996	0.633	0.818	3.71961185366249e-24
Ctsb	2.7869329664467e-28	-0.603723558297118	0.797	0.915	5.8932484508482e-24
Rell1	3.31391953849425e-28	-0.670370810630278	0.579	0.753	7.00761425609995e-24
Meis1	4.52732758534281e-28	1.06245785966029	0.504	0.281	9.5734869119659e-24
Arhgap17	5.66736027750119e-28	-0.526582500691726	0.819	0.91	1.1984200042804e-23
Bank1	7.91059006051319e-28	0.544143589879061	0.254	0.069	1.67277337419612e-23
Atp1b1	1.4789530877911e-27	-0.553900597922219	0.61	0.855	3.12739419944307e-23
Nrip1	1.52726475023747e-27	0.588036616171887	0.725	0.492	3.22955404085214e-23
Nptn	3.36002325082543e-27	-0.496151669634473	0.744	0.888	7.10510516619545e-23
Il9r	3.51463445727926e-27	0.33061112588172	0.212	0.045	7.43204602336272e-23
Ctsl	5.19693494880784e-27	-0.675664384452715	0.789	0.894	1.09894386427491e-22
Pld4	5.85783595392473e-27	-0.528678431199603	0.679	0.868	1.23869799081692e-22
Hlf	6.11950305716607e-27	0.879649226669278	0.299	0.104	1.29403011646834e-22
Nrp1	2.49116331914387e-26	-0.541385130516696	0.408	0.644	5.26781395466162e-22
Marcksl1	6.20130669934084e-26	0.525296740765093	0.552	0.327	1.31132831464261e-21
Satb1	7.07284461494593e-26	0.650184186376401	0.818	0.669	1.49562372227647e-21
Il2rg	2.13882553506775e-25	0.360187401642193	0.414	0.186	4.52276047645426e-21
Man1a	2.36675383727501e-25	0.750267421805707	0.544	0.325	5.00473766430174e-21
Cd81	2.53480156426237e-25	0.736304567473206	0.508	0.3	5.36009138778921e-21
Adgrl4	3.36854674367899e-25	1.13996062160199	0.425	0.223	7.1231289441836e-21
Gng2	4.02921419069532e-25	-0.485676507597006	0.802	0.867	8.52017632764432e-21
Ppp1r9b	8.11176538042723e-25	0.384225835567456	0.44	0.216	1.71531390734514e-20
Apba1	8.67997088103026e-25	-0.576080239873125	0.37	0.591	1.83546664250266e-20
Herpud1	1.27617128937784e-24	-0.55277669047571	0.611	0.76	2.69859180851838e-20
Runx2	2.46955625123464e-24	-0.61220992323757	0.891	0.933	5.22212364886078e-20
Samsn1	2.96851128130494e-24	0.536022387769328	0.865	0.751	6.27721395544742e-20
Hnrnpa0	3.6550704203209e-24	0.345818002861752	0.949	0.893	7.72901191081057e-20
Cd180	5.41144990545255e-24	-0.543126150671379	0.353	0.567	1.144305197007e-19
Senp6	6.45465261035386e-24	0.389961025382999	0.921	0.824	1.36490084098543e-19
Grn	9.05971305261184e-24	-0.514314134478222	0.609	0.807	1.9157669221053e-19
Plac8	1.27330269063335e-23	-0.454276514392467	0.905	0.969	2.69252586961328e-19
Cd7	1.35068829043756e-23	-0.637434303902951	0.514	0.722	2.85616545895927e-19
Rbp1	1.4669173919675e-23	0.887341260616253	0.357	0.165	3.10194351705448e-19
Egfl7	1.52881754475521e-23	0.6246173192646	0.57	0.347	3.23283758013936e-19
Ier5	1.56467637251859e-23	-0.610334412547683	0.647	0.776	3.30866465732781e-19
Carmil1	1.60099217982762e-23	-0.603641889592777	0.357	0.577	3.38545806346348e-19
Laptm5	1.60169560341348e-23	-0.375016526631167	0.948	0.955	3.38694552297814e-19
Rabgap1l	2.35740430869647e-23	-0.660584613670904	0.847	0.897	4.98496715116956e-19
Btg1	2.51674411874452e-23	-0.588497255583131	0.756	0.843	5.32190711349716e-19
Rab38	2.77659523434213e-23	0.462318887091984	0.198	0.048	5.87138828253987e-19
Ppfia4	5.60678566581361e-23	-0.491587418085186	0.491	0.695	1.18561089689295e-18
Mecom	6.42211044696766e-23	2.00905721643482	0.258	0.093	1.35801947511578e-18
Nkx2-3	1.59825948092626e-22	0.538077057762402	0.198	0.05	3.37967949836668e-18
Tspan32	2.38863936483435e-22	0.411295148127503	0.316	0.132	5.05101680087871e-18
Sinhcaf	2.83489396292606e-22	0.444020999014316	0.648	0.458	5.99466677400344e-18
Prkg1	8.53489560932978e-22	1.15399781314488	0.274	0.107	1.80478902554888e-17
Fth1	9.48907066771018e-22	-0.431117226199256	0.993	0.994	2.00655888339399e-17
H2-DMa	1.10907039742918e-21	-0.608622539221193	0.577	0.705	2.34524026240374e-17
Pde4d	1.23703647934406e-21	1.28071870110076	0.566	0.38	2.61583733922094e-17
BC035044	1.70912852442095e-21	-0.424395445580051	0.717	0.835	3.61412317774053e-17
Fgd4	1.80300573179624e-21	0.343574771788069	0.287	0.112	3.81263592045633e-17
Btg2	2.31634467341478e-21	-0.614212132631665	0.669	0.771	4.89814244640289e-17
Nrxn1	2.78870685406809e-21	0.763116283650606	0.233	0.077	5.89699951361238e-17
Car2	2.79319029720005e-21	0.805507767491501	0.342	0.161	5.90648020245923e-17
Plek	3.15054078555089e-21	-0.483556838375334	0.547	0.72	6.6621335451259e-17
Itpr1	3.41302391479624e-21	-0.504912551257539	0.831	0.883	7.21718037022813e-17
Myct1	4.66512269638724e-21	0.466184461507051	0.205	0.059	9.86486845378047e-17
Bloc1s2	4.76463329684843e-21	-0.411911227297566	0.814	0.897	1.00752935695157e-16
Fcrla	5.56498232923933e-21	-0.560082640850439	0.135	0.317	1.17677116334095e-16
Txnrd1	5.92646709105853e-21	0.381114026115325	0.482	0.275	1.25321073107524e-16
2610307P16Rik	7.06576246371671e-21	0.661195843031556	0.485	0.281	1.49412613057754e-16
Cd53	1.09106522292181e-20	-0.416453515003701	0.767	0.853	2.30716652039046e-16
Tex2	1.17913609223194e-20	-0.59164534078191	0.602	0.752	2.49340118063367e-16
Calcrl	1.27608272957125e-20	0.731798280885515	0.483	0.299	2.69840453995138e-16
Uvrag	1.75598065671015e-20	-0.514529352344778	0.846	0.899	3.71319669667928e-16
Ncl	2.43749770442241e-20	0.415145548495746	0.97	0.939	5.15433264577163e-16
Alcam	3.48458631736332e-20	-0.65749179823154	0.352	0.541	7.36850622669648e-16
Map7	3.60510676817097e-20	0.333642742945581	0.437	0.24	7.62335877197434e-16
Ccr9	4.02788916082709e-20	-0.700778330552282	0.507	0.665	8.51737441948497e-16
Ptms	4.69668273476359e-20	-0.489051229657046	0.475	0.653	9.93160531093109e-16
Pde3b	5.0029490832255e-20	0.639710893539209	0.582	0.368	1.05792361313886e-15
Tox	5.38936188875628e-20	0.320660046381176	0.436	0.227	1.1396344649964e-15
Serp1	5.66906773053883e-20	-0.456700466615685	0.807	0.864	1.19878106229974e-15
Emcn	6.16762265791941e-20	0.273144567742047	0.195	0.057	1.30420548724364e-15
Clec2d	6.32724612396515e-20	-0.47042226279685	0.379	0.553	1.33795946537367e-15
Actb	6.57239473776846e-20	-0.304453728990487	0.992	0.992	1.38979859124852e-15
Foxp1	7.42938853598057e-20	0.497060564180996	0.981	0.953	1.57101849981845e-15
Msi2	8.48983086458217e-20	0.803893222115443	0.788	0.671	1.79525963462455e-15
Selenbp1	9.11149946501944e-20	0.295896459369758	0.263	0.101	1.92671767687301e-15
Fcer1g	9.2061735143603e-20	-0.451278237368002	0.815	0.892	1.94673745134663e-15
Atxn1	1.0423916465826e-19	0.557779587945738	0.293	0.126	2.20424137586356e-15
Pkig	1.28459915934404e-19	-0.434855121691298	0.765	0.851	2.71641338234892e-15
Cdk17	1.81986691125349e-19	0.561000585402059	0.584	0.397	3.84829057053663e-15
Cyth4	2.10718638964948e-19	-0.402201736671685	0.79	0.873	4.45585633955278e-15
Pard3b	2.16170339746097e-19	0.523702800561832	0.32	0.147	4.57113800427098e-15
Jaml	2.86421404028883e-19	-0.537749247883158	0.409	0.593	6.05666700959476e-15
Vamp5	3.22828449519032e-19	0.502897193245929	0.345	0.17	6.82653039352944e-15
Hacd4	3.71195770673559e-19	0.501186799932584	0.242	0.09	7.84930576666307e-15
Cox6a2	4.3047934802505e-19	-0.934404495835046	0.462	0.619	9.1029162933377e-15
Dnajc7	4.55194971574853e-19	-0.522724614135128	0.886	0.908	9.62555286892185e-15
Kdm5b	6.02751565997205e-19	0.386163524567477	0.563	0.367	1.27457846145769e-14
Gm34680	6.0853834229256e-19	-0.701317344786168	0.329	0.509	1.28681517861185e-14
Mllt3	7.77469835672302e-19	0.878189548162749	0.355	0.184	1.64403771451265e-14
Klrd1	7.79615873035051e-19	-0.518601114677902	0.334	0.53	1.64857572511992e-14
Igfbp4	7.91659269776425e-19	0.373103896065431	0.506	0.294	1.67404269186923e-14
Mir99ahg	9.17090355881384e-19	0.68662621549922	0.322	0.154	1.93927926654678e-14
Tnrc18	9.83930917852856e-19	0.361913606953632	0.507	0.313	2.08062031889165e-14
Ldhb	1.64069738225298e-18	0.490749914093939	0.474	0.289	3.46941868451216e-14
Npm1	2.27888136410549e-18	0.318142386457048	0.993	0.981	4.81892253253746e-14
Ube2i	2.54516575055683e-18	0.336566224145686	0.908	0.818	5.38200749612747e-14
Tes	3.76955336141801e-18	0.32522277264187	0.495	0.308	7.97109753805451e-14
Fmnl2	4.04247197778843e-18	-0.478401270422011	0.647	0.781	8.5482112442314e-14
Gm17018	4.07546319178911e-18	0.299470909667691	0.463	0.262	8.61797446535725e-14
Gm2a	4.08223137585484e-18	-0.408865464016722	0.635	0.777	8.63228646738264e-14
St6galnac3	5.39904905303507e-18	0.312451040912423	0.218	0.077	1.1416829127548e-13
Stat4	5.50310809587392e-18	0.384988089417386	0.405	0.22	1.1636872379535e-13
Trim30d	6.05194250760408e-18	-0.410647996092904	0.293	0.469	1.27974376265796e-13
H2-Aa	6.89447840908784e-18	-1.20954748476692	0.069	0.208	1.45790640438571e-13
Actg1	7.95848813942274e-18	-0.393215224246573	0.98	0.969	1.68290190196233e-13
Cd300lf	9.95275504047651e-18	-0.256698565830286	0.135	0.305	2.10460958085916e-13
Irf5	1.02462826519309e-17	-0.409299777693151	0.323	0.502	2.1666789295773e-13
Ctla2a	1.13222914694871e-17	0.73970478583242	0.467	0.287	2.39421175413773e-13
Gucy1a1	1.14209907834722e-17	0.331908448829321	0.152	0.037	2.41508271107302e-13
Hoxa3	1.31239029032563e-17	0.287269318910122	0.236	0.091	2.77518050792259e-13
Ctsz	1.54475335176485e-17	-0.33580503193929	0.864	0.93	3.26653543764196e-13
Afap1l1	1.88363147582546e-17	0.354494295222214	0.265	0.114	3.98312711878051e-13
Kctd1	1.98773346909231e-17	0.442287212469784	0.383	0.206	4.20326119374261e-13
Eepd1	2.6293796601349e-17	-0.46786143849526	0.397	0.571	5.56008622932125e-13
Gna15	2.71755727418173e-17	-0.440518155573485	0.443	0.593	5.74654661198468e-13
Gm12828	2.76060415750054e-17	0.203989861197017	0.178	0.052	5.83757355145065e-13
Lmo2	3.0621774799645e-17	0.737730436916334	0.691	0.546	6.47528049913292e-13
Tal1	3.70125725093211e-17	0.255552831616172	0.175	0.052	7.82667858282104e-13
Col4a1	5.54479104586657e-17	0.247161618557716	0.113	0.017	1.17250151455895e-12
Setbp1	6.78309638234865e-17	-0.609000450166333	0.374	0.54	1.43435356101145e-12
Prkar2b	7.38405713709722e-17	0.237136349574268	0.336	0.168	1.56143272221058e-12
Prdx2	8.76449176064182e-17	0.38686731465465	0.873	0.802	1.85333942770532e-12
Myb	1.03957412005035e-16	0.475360690936957	0.66	0.507	2.19828343425846e-12
Mctp2	1.15807912209586e-16	-0.555576467277753	0.654	0.758	2.4488741115839e-12
5031439G07Rik	1.32680457719554e-16	-0.436501937415602	0.422	0.566	2.80566095893768e-12
Gbp7	1.32872926366554e-16	0.267514664706625	0.291	0.134	2.80973090094714e-12
Irf2bp2	1.51221426189247e-16	-0.37654576770214	0.814	0.875	3.19772827819781e-12
Hoxa5	1.69670090203188e-16	0.397336817170217	0.191	0.066	3.58784372743661e-12
March1	1.74642380455495e-16	-0.497413932330751	0.178	0.342	3.69298777711189e-12
Cldnd1	1.91915697697438e-16	-0.481203968364397	0.605	0.701	4.05824934351003e-12
Gng10	1.97276283057355e-16	-0.361392590881796	0.864	0.89	4.17160428153084e-12
Erp29	2.09117920910687e-16	-0.293928257824698	0.938	0.957	4.42200755557739e-12
Trim30a	2.7126430577429e-16	-0.455389566099065	0.687	0.773	5.73615500990314e-12
Susd1	3.48276847648166e-16	0.390842427209061	0.53	0.339	7.36466222036812e-12
Chil5	3.64464772334294e-16	0.256707304601048	0.147	0.038	7.70697207578097e-12
Scimp	3.90192549008569e-16	-0.478382185459022	0.262	0.438	8.25101164133521e-12
Rhobtb3	3.9834776816328e-16	0.270416505374654	0.2	0.073	8.42346190558071e-12
Serbp1	4.19113867844185e-16	0.26343887032875	0.964	0.953	8.86258184943315e-12
Cpq	4.50891113345771e-16	0.448718435322591	0.581	0.406	9.53454348280968e-12
Mpped2	4.6646543561246e-16	0.243099217422737	0.188	0.063	9.86387810146109e-12
Cxcr3	5.51788218141529e-16	-0.358904095836038	0.116	0.264	1.16681136608208e-11
C530008M17Rik	8.75572631408617e-16	0.368321711351816	0.21	0.082	1.85148588637666e-11
Elf1	9.06274260462181e-16	0.318673232887229	0.941	0.86	1.91640755117333e-11
Smim5	9.82499049860912e-16	-0.517988590300689	0.4	0.555	2.07759249083588e-11
Tbxas1	1.11518648759211e-15	0.495625549817132	0.181	0.062	2.35817334666227e-11
Maml3	1.18808143305954e-15	0.519760794283648	0.806	0.657	2.51231699834771e-11
Adgrg1	1.32056694564661e-15	0.435850444522015	0.437	0.277	2.79247086326432e-11
Lifr	1.33749163176702e-15	-0.415971106885408	0.287	0.472	2.82825980453453e-11
Id3	1.3573112314591e-15	-0.608096139373211	0.488	0.65	2.87017033004341e-11
Tbc1d8	1.43352778024122e-15	-0.41863259869622	0.414	0.58	3.03133784409808e-11
Bmyc	1.43864147941707e-15	-0.385588586741829	0.761	0.805	3.04215127237534e-11
1110038B12Rik	1.44459349601325e-15	0.377691587314918	0.719	0.568	3.05473740666962e-11
Gnas	1.64034530001515e-15	-0.234968222820128	0.987	0.986	3.46867417141204e-11
Il7r	1.82276249248182e-15	-0.419128679205807	0.637	0.792	3.85441356660207e-11
Prkcb	1.95059282660554e-15	-0.507731423380552	0.551	0.681	4.12472359114007e-11
Prmt1	1.97239226714639e-15	0.375598125755166	0.835	0.751	4.17082068810776e-11
Ppm1m	1.98775572347548e-15	-0.408157037590413	0.486	0.62	4.20330825286125e-11
Tfrc	2.24154331355873e-15	-0.484976174814982	0.633	0.723	4.73996749085128e-11
Lyn	2.31158295211039e-15	-0.361099693978065	0.863	0.914	4.88807331053263e-11
Ssbp2	2.32969902213061e-15	0.402916554790838	0.883	0.772	4.92638155219739e-11
Col4a2	2.4046877150152e-15	0.262578473553764	0.109	0.019	5.08495264217115e-11
Serpinb1a	2.42079362004172e-15	0.40669090555963	0.357	0.193	5.11901018894021e-11
Pitpnc1	2.81593444655985e-15	0.372046183924767	0.43	0.253	5.95457498069545e-11
Sp100	3.13837002868099e-15	-0.41759813498557	0.695	0.785	6.63639726264881e-11
Ighm	3.64909027042852e-15	-0.362626159678259	0.797	0.931	7.71636628584814e-11
Fyb	3.79497289778227e-15	-0.518092815484682	0.704	0.792	8.02484968965039e-11
Hmcn1	3.91682925921522e-15	0.276480780012696	0.117	0.024	8.28252715153651e-11
Cd63	4.03927798147921e-15	0.407310605650515	0.277	0.133	8.54145721963594e-11
Kif2a	4.81713860775818e-15	0.374357119502867	0.649	0.488	1.01863212999654e-10
Snx18	4.81811357534876e-15	-0.452428933870751	0.559	0.658	1.01883829664325e-10
Grb10	4.85936358096487e-15	0.348630438271123	0.135	0.034	1.02756102283083e-10
Fut8	5.99629361742462e-15	0.635689891642136	0.626	0.473	1.26797624834061e-10
Khdrbs3	6.39755046361848e-15	0.170309878382809	0.168	0.055	1.35282602103676e-10
Klk8	6.86225317928198e-15	0.360299684460804	0.667	0.491	1.45109205729097e-10
Gfi1	6.97452364048051e-15	0.273977120562475	0.205	0.081	1.47483276901601e-10
Pdzk1ip1	8.10883191729312e-15	0.274355814039122	0.111	0.021	1.7146935972308e-10
Magi1	9.49255865024749e-15	0.258482245022285	0.13	0.032	2.00729645218134e-10
Ifitm2	9.94633576380217e-15	0.666110243529474	0.55	0.407	2.10325216061361e-10
Clec12a	9.98156653554389e-15	-0.450424026126458	0.591	0.75	2.11070205960611e-10
Nop58	1.0003739557555e-14	0.330433487536953	0.812	0.684	2.11539076684059e-10
Tcf4	1.13189608143313e-14	-0.376315458280135	0.956	0.96	2.39350745379851e-10
Ctnnal1	1.15384551130459e-14	0.305214206258426	0.179	0.062	2.43992171820468e-10
Mir142hg	1.36443671300554e-14	-0.463441227666049	0.692	0.789	2.88523787332152e-10
Nucb2	1.38035201443087e-14	-0.438564123155462	0.477	0.621	2.91889236971553e-10
Arid2	1.57326214488191e-14	0.29607213069829	0.64	0.449	3.32682013156728e-10
Trim12a	2.00797348846719e-14	-0.3707534755068	0.352	0.493	4.24606073871273e-10
Csgalnact1	2.20355146756569e-14	0.317772283142033	0.171	0.059	4.65962993331441e-10
Pglyrp2	3.1018976765056e-14	0.305029605679409	0.246	0.113	6.55927282673874e-10
Chd3	3.49672961942104e-14	0.26498859762374	0.172	0.06	7.39418445322773e-10
Thsd1	3.51579474247761e-14	0.210377049574831	0.193	0.073	7.43449956244315e-10
Prdm16	3.8106127169628e-14	0.28618710398907	0.141	0.041	8.05792165128953e-10
Gp9	3.84671621896573e-14	0.204429728248942	0.155	0.048	8.13426611662493e-10
Plscr3	3.89228464844689e-14	0.258665614960458	0.467	0.291	8.23062511760578e-10
Ctla2b	4.27804623004951e-14	0.202966065774173	0.185	0.068	9.04635655806269e-10
Ruvbl1	4.69011247730031e-14	0.297981678408379	0.634	0.485	9.91771184449923e-10
Skap2	5.00882853074676e-14	-0.351422064553801	0.737	0.795	1.05916688111171e-09
H2-Eb1	5.09450706478638e-14	-0.774156252333895	0.041	0.144	1.07728446391973e-09
Fscn1	5.12716404418857e-14	0.199311292781275	0.21	0.086	1.08419010878411e-09
Cd24a	5.42753693675017e-14	0.269276849476922	0.385	0.219	1.14770696064519e-09
Prdx1	5.6398996039865e-14	0.286965162940559	0.935	0.897	1.19261317025899e-09
Ddx4	5.70787608201207e-14	0.231103699046365	0.158	0.052	1.20698747630227e-09
Igf1	6.0222245676693e-14	0.260800170611183	0.111	0.024	1.27345960707935e-09
Net1	6.38394846494343e-14	-0.448811255241102	0.525	0.653	1.34994974239694e-09
Gbp4	6.52206784340471e-14	-0.327414879962342	0.128	0.266	1.37915646616636e-09
2900052L18Rik	6.62796465499583e-14	0.202319126899715	0.145	0.043	1.40154940594542e-09
Zfp704	6.99899943367623e-14	0.383973831847622	0.392	0.236	1.48000842024518e-09
Slamf6	7.03861912417007e-14	-0.431950855570421	0.306	0.459	1.488386399997e-09
8430419K02Rik	7.14947698789459e-14	0.259056723463706	0.117	0.028	1.51182840386019e-09
P2ry14	7.57173243324632e-14	-0.502565074611514	0.436	0.579	1.60111854033427e-09
Fkbp3	7.67124833450338e-14	0.310241740126788	0.877	0.791	1.62216217281409e-09
Arid3a	7.81103902359345e-14	-0.397531378937892	0.643	0.724	1.65172231192907e-09
Maged2	8.15190042615449e-14	0.322716349510413	0.209	0.088	1.72380086411463e-09
Cd52	8.1661427429857e-14	-0.505337313839578	0.801	0.893	1.72681254443176e-09
Ssb	8.94015578526862e-14	0.244605735663218	0.936	0.884	1.8904853423529e-09
Zfpm1	9.18176456132822e-14	0.214489956696983	0.187	0.07	1.94157593413847e-09
Gm15987	9.84954881563052e-14	-0.419324857376681	0.16	0.302	2.08278559255323e-09
Cdk4	9.95929862962839e-14	0.339932201150132	0.84	0.727	2.10599328822122e-09
Ifi30	1.00661061667452e-13	-0.356016107506988	0.531	0.697	2.12857881001994e-09
Tmed3	1.07190851389115e-13	-0.345900639358826	0.771	0.832	2.26665774347422e-09
Tmem163	1.10790524135564e-13	-0.503643683226828	0.303	0.474	2.34277642337063e-09
Rsbn1l	1.14455291869212e-13	0.376189075398343	0.789	0.623	2.42027160186635e-09
Gria3	1.15136709042372e-13	-0.365178600337629	0.729	0.853	2.43468084940999e-09
Ccnd1	1.21641642276752e-13	-0.436662160511104	0.678	0.778	2.57223416758419e-09
Paip2	1.24732863985111e-13	0.285681333641579	0.935	0.858	2.63760114182915e-09
Dnmt3b	1.49355521945874e-13	0.254157684190672	0.34	0.187	3.15827186706746e-09
Ikzf2	1.56979482280399e-13	0.714292426013897	0.367	0.228	3.31948813230131e-09
Plcb4	1.66167742880515e-13	0.317437750645543	0.393	0.228	3.51378309095138e-09
Ubl3	1.79491608231121e-13	-0.36277212211461	0.726	0.805	3.79552954765529e-09
Mpl	1.94677676537477e-13	0.269448031312147	0.199	0.083	4.11665414806148e-09
Socs2	2.05697021278947e-13	0.252437519952797	0.161	0.056	4.34966921196462e-09
Aprt	2.10497724669838e-13	0.323502320063125	0.783	0.64	4.45118488586839e-09
H2-T23	2.28988459343584e-13	-0.346200336724467	0.722	0.821	4.84218996127943e-09
Rexo2	2.31350379630638e-13	-0.422943490583856	0.786	0.826	4.89213512766948e-09
Cd27	2.33107988562256e-13	0.231059955273679	0.41	0.245	4.92930152613747e-09
Kynu	2.33633610666301e-13	-0.376122105902148	0.423	0.597	4.9404163311496e-09
Gm49692	2.41714295883903e-13	0.175060956688148	0.191	0.075	5.11129050076101e-09
Serpina3g	2.49533931564991e-13	0.203381524813944	0.126	0.033	5.27664451687329e-09
Sash1	2.73641718013451e-13	0.22604413690919	0.219	0.096	5.78642776911244e-09
Orai1	3.09490644257657e-13	0.298644562694316	0.528	0.366	6.54448916347241e-09
Mfng	3.25783121342203e-13	0.252644807218287	0.436	0.27	6.88900988390221e-09
Arhgap27os2	3.27715612640225e-13	-0.345478878532148	0.182	0.328	6.92987434489021e-09
Prkcq	3.82333068238578e-13	0.246739697768171	0.177	0.068	8.08481506097297e-09
Irak3	3.99484161917944e-13	0.183709465126186	0.115	0.028	8.44749208791685e-09
Smyd3	4.01924388684503e-13	0.397560540035369	0.656	0.482	8.4990931231225e-09
Pebp1	4.19324057084598e-13	0.307694098940501	0.91	0.873	8.86702651111091e-09
Adsl	4.56287978782727e-13	0.249241248788906	0.485	0.318	9.64866559933954e-09
Nedd4	4.59018173930146e-13	0.33468108118535	0.86	0.75	9.70639830592686e-09
Stk26	5.36098034728708e-13	0.269707977487978	0.477	0.316	1.13363290423733e-08
Npc2	5.95795162625546e-13	-0.279831690733432	0.931	0.951	1.25986845088798e-08
Gng11	6.35749189701006e-13	0.283605919216411	0.173	0.067	1.34435523654175e-08
Dach1	6.48223949580218e-13	0.456594555053258	0.168	0.062	1.37073436378233e-08
Dipk1a	6.72467526125145e-13	-0.366211817413006	0.512	0.625	1.42199983074423e-08
6030498E09Rik	6.77588192451193e-13	0.326933655702428	0.122	0.033	1.43282799175729e-08
Ptprc	6.81438523164705e-13	-0.342533547267593	0.906	0.929	1.44096990108409e-08
Cct3	7.1253720666684e-13	0.315296820157017	0.819	0.699	1.5067311772177e-08
Ddah2	7.4844669160352e-13	0.276225917317505	0.41	0.248	1.5826653740648e-08
Hsp90ab1	7.54686411785992e-13	0.206626561956634	0.994	0.992	1.59585988636266e-08
Slc49a4	8.09559952056534e-13	-0.401586610553455	0.62	0.734	1.71189547461875e-08
Rbbp7	8.19496523146167e-13	0.302636014196969	0.789	0.658	1.73290734784488e-08
Nme4	8.47570120618003e-13	0.304015491550728	0.498	0.332	1.79227177705883e-08
Glo1	9.78952215359238e-13	0.286169490363883	0.748	0.598	2.07009235459864e-08
Inpp4a	1.05310326012032e-12	-0.372867170301355	0.323	0.473	2.22689215385043e-08
Fgfr1op2	1.13997299919787e-12	-0.329286519589505	0.826	0.857	2.41058690410382e-08
